,rank,title,cluster,genre
1,58,The Pianist,1,"[u' Biography', u' Drama', u' War']"
1,59,Goodfellas,1,"[u' Biography', u' Crime', u' Drama']"
3,60,The Exorcist,3,[u' Horror']
0,61,The Deer Hunter,0,"[u' Drama', u' War']"
0,62,All Quiet on the Western Front,0,"[u' Drama', u' War']"
3,63,The French Connection,3,"[u' Action', u' Crime', u' Thriller']"
4,64,City Lights,4,"[u' Comedy', u' Drama', u' Romance']"
2,65,The King's Speech,2,"[u' Biography', u' Drama', u' History']"
3,66,It Happened One Night,3,"[u' Comedy', u' Romance']"
2,67,A Place in the Sun,2,"[u' Drama', u' Romance']"
4,68,Midnight Cowboy,4,[u' Drama']
3,69,Mr. Smith Goes to Washington,3,[u' Drama']
4,70,Rain Man,4,[u' Drama']
4,71,Annie Hall,4,"[u' Comedy', u' Drama', u' Romance']"
1,72,Out of Africa,1,"[u' Biography', u' Drama', u' Romance']"
1,73,Good Will Hunting,1,[u' Drama']
4,74,Terms of Endearment,4,"[u' Comedy', u' Drama']"
2,75,Tootsie,2,"[u' Comedy', u' Drama', u' Romance']"
3,76,Fargo,3,"[u' Crime', u' Drama', u' Thriller']"
1,77,Giant,1,"[u' Drama', u' Romance']"
1,78,The Grapes of Wrath,1,[u' Drama']
3,79,Shane,3,"[u' Drama', u' Romance', u' Western']"
0,80,The Green Mile,0,"[u' Crime', u' Drama', u' Fantasy', u' Mystery']"
3,81,Close Encounters of the Third Kind,3,"[u' Drama', u' Sci-Fi']"
1,82,Network,1,[u' Drama']
4,83,Nashville,4,"[u' Drama', u' Music']"
3,84,The Graduate,3,"[u' Comedy', u' Drama', u' Romance']"
3,85,American Graffiti,3,"[u' Comedy', u' Drama']"
3,86,Pulp Fiction,3,"[u' Crime', u' Drama', u' Thriller']"
0,87,The African Queen,0,"[u' Adventure', u' Romance', u' War']"
0,88,Stagecoach,0,"[u' Adventure', u' Western']"
0,89,Mutiny on the Bounty,0,"[u' Adventure', u' Drama', u' History']"
3,90,The Maltese Falcon,3,"[u' Drama', u' Film-Noir', u' Mystery']"
0,91,A Clockwork Orange,0,"[u' Crime', u' Drama', u' Sci-Fi']"
3,92,Taxi Driver,3,"[u' Crime', u' Drama']"
3,93,Wuthering Heights,3,"[u' Drama', u' Romance']"
3,94,Double Indemnity,3,"[u' Crime', u' Drama', u' Film-Noir', u' Thriller']"
3,95,Rebel Without a Cause,3,[u' Drama']
3,96,Rear Window,3,"[u' Mystery', u' Thriller']"
3,97,The Third Man,3,"[u' Film-Noir', u' Mystery', u' Thriller']"
3,98,North by Northwest,3,"[u' Mystery', u' Thriller']"
1,99,Yankee Doodle Dandy,1,"[u' Biography', u' Drama', u' Musical']"
